Country,Station,Month,GHI
Benin,Malanville,2021-08,199.60312509435673
Benin,Malanville,2021-09,224.44703703703703
Benin,Malanville,2021-10,263.0977620967742
Benin,Malanville,2021-11,251.49091435185184
Benin,Malanville,2021-12,233.2723767921147
Benin,Malanville,2022-01,239.1466554659498
Benin,Malanville,2022-02,264.9235887896825
Benin,Malanville,2022-03,250.29586693548387
Benin,Malanville,2022-04,271.03547453703703
Benin,Malanville,2022-05,258.4956003584229
Benin,Malanville,2022-06,234.42777546296298
Benin,Malanville,2022-07,224.33138888888888
Benin,Malanville,2022-08,207.49066053293984
